DAS,X1,X2,Y1,Y2,pembagi
kab_382,932,947,658,678,4
kab_383,519,574,625,666,4
kab_384,680,705,687,706,4
kab_385,1116,1256,542,703,4
kab_386,2064,2128,477,525,4
kab_387,1259,1333,278,374,4
kab_388,251,283,269,321,4
kab_389,222,268,286,324,4
kab_390,1228,1259,356,407,4
kab_391,1045,1095,362,435,4
kab_392,893,920,691,713,4
kab_393,804,829,635,665,4
kab_394,1926,1969,362,393,4
kab_395,2261,2315,497,582,4
kab_396,738,755,656,677,4
kab_397,339,433,278,335,4
kab_398,723,745,653,677,4
kab_399,1081,1112,354,395,4
kab_400,444,478,464,486,4
kab_401,511,535,570,607,4
kab_402,444,498,553,612,4
kab_403,279,330,362,439,4
kab_404,50,89,36,81,4
kab_405,65,83,49,70,4
kab_406,1236,1255,477,517,4
kab_407,1322,1371,264,295,4
kab_408,1209,1240,468,492,4
kab_409,828,854,702,724,4
kab_410,1268,1313,369,427,4
kab_411,503,520,572,594,4
kab_412,910,947,698,716,4
kab_413,943,982,390,488,4
kab_414,1670,1700,182,217,4
kab_415,1478,1531,393,419,4
kab_416,2106,2169,466,525,4
kab_417,2136,2183,463,511,4
kab_418,725,744,672,690,4
kab_419,625,645,634,654,4
kab_420,754,772,690,710,4
kab_421,1729,1832,260,428,4
kab_422,382,415,477,496,4
kab_423,826,850,645,661,4
kab_424,278,332,168,254,4
kab_425,266,315,242,296,4
kab_426,1396,1437,836,865,4
kab_427,1327,1365,835,856,4
kab_428,709,753,210,267,4
kab_429,185,216,174,197,4
kab_430,916,939,658,681,4
kab_431,756,816,254,340,4
kab_432,2171,2265,393,489,4
kab_433,367,427,409,454,4
kab_434,792,830,277,349,4
kab_435,379,415,504,533,4
kab_436,776,798,668,690,4
kab_437,1637,1707,456,493,4
kab_438,1757,1858,463,554,4
kab_439,555,586,604,632,4
kab_440,201,240,125,164,4
kab_441,836,907,349,492,4
kab_442,313,410,252,295,4
kab_443,1247,1282,488,522,4
kab_444,887,909,681,694,4
kab_445,1246,1284,357,418,4
kab_446,303,342,330,365,4
kab_447,1348,1399,719,755,4
kab_448,191,243,149,185,4
kab_449,33,99,163,212,4
kab_450,1260,1286,566,583,4
kab_451,802,937,260,350,4
kab_452,943,988,694,715,4
kab_453,775,792,691,707,4
kab_454,285,328,341,381,4
kab_455,308,349,364,401,4
kab_456,1249,1270,519,542,4
kab_457,1829,1838,359,363,4
kab_458,1794,1879,350,403,4
kab_459,1853,1900,366,429,4
kab_460,802,823,676,692,4
kab_461,640,661,623,656,4
kab_462,583,618,650,687,4
kab_463,801,835,415,468,4
kab_464,799,813,691,706,4
kab_465,1221,1242,783,805,4
kab_466,1210,1235,782,802,4
kab_467,1234,1261,781,806,4
kab_468,1248,1307,778,832,4
kab_469,1106,1182,720,770,4
kab_470,1100,1120,739,770,4
kab_471,651,676,643,667,4
kab_472,943,1079,566,678,4
kab_473,1979,2055,267,363,4
kab_474,1020,1053,380,433,4
kab_475,1010,1026,726,747,4
kab_476,1223,1247,575,595,4
kab_477,1851,1940,331,383,4
kab_478,1098,1156,124,149,4
kab_479,1232,1267,451,484,4
kab_480,1027,1069,464,508,4
kab_481,280,307,328,348,4
kab_482,990,1034,490,524,4
kab_483,581,601,614,633,4
kab_484,477,525,569,612,4
kab_485,396,444,351,388,4
kab_486,430,490,358,399,4
kab_487,203,247,208,266,4
kab_488,165,218,198,245,4
kab_489,197,239,194,233,4
kab_490,1004,1040,440,475,4
kab_491,659,687,666,706,4
kab_492,355,406,358,410,4
kab_493,712,733,656,677,4
kab_494,1894,1983,376,471,4
kab_495,1964,2006,401,490,4
kab_496,761,782,668,685,4
kab_497,1467,1506,788,824,4
kab_498,1469,1508,765,798,4
kab_499,209,244,181,210,4
kab_500,1308,1385,320,398,4
kab_501,1271,1324,245,286,4
kab_502,2167,2210,469,508,4
kab_503,1248,1269,443,474,4
kab_504,834,857,708,735,4
kab_505,842,876,652,673,4
kab_506,522,561,520,549,4
kab_507,510,528,521,551,4
kab_508,850,871,706,734,4
kab_509,1258,1287,496,529,4
kab_510,1437,1496,576,622,4
kab_511,2065,2143,423,485,4
kab_512,478,519,523,562,4
kab_513,802,831,699,726,4
kab_514,751,769,673,696,4
kab_515,2202,2273,495,576,4
kab_516,2211,2271,487,525,4
